cod_escola,nome_escola,cod_cidade,situacao_funcionamento,tipo_dependencia,tipo_localizacao,tem_internet
11000201,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM I,1100205,1,3,1,1
12009172,ESCOLA CEI MARIA ESTELA MARQUES,1200401,1,3,1,0
27035018,COLEGIO ANCHIETA,2704302,1,4,1,1
16000641,ESC EST VEIGA CABRAL,1600303,1,2,1,0
13027107,ESCOLA ESTADUAL ALTAIR SEVERIANO NUNES,1302603,1,2,1,1
29190290,ESCOLA MUNICIPAL CONEGO ORLANDO TELES,2900702,2,3,1,0
23065591,FARIAS BRITO COLEGIO CENTRAL,2304400,1,4,1,1
53002458,CAIC CARLOS CASTELLO BRANCO,5300108,1,2,1,0
32040121,COLEGIO MENINO JESUS,3205309,2,4,1,0
52034682,ESCOLA DA PROVIDENCIA,5208707,3,4,1,0
21015473,UEB NIELZA LIMA DE MATOS,2105402,1,3,1,1
51056500,COLEGIO EXPRESSAO,5103403,2,4,1,0
50031198,COLEGIO REI LEAO,5002704,1,4,1,1
31000019,UFMG - COLEGIO TECNICO,3106200,1,1,1,1
15588947,IFPA - CAMPUS BELEM,1501402,1,1,1,1
25124528,COLEGIO POLIGONO EDUCACIONAL EIRELI,2507507,1,4,1,1
41132173,PASSO A PASSO EVOLUCAO E EI EF,4106902,2,4,1,0
26139618,COLEGIO MILITAR DO RECIFE,2607901,1,1,1,1
22022236,CIERP CENTRO INTEGRADO DE ENSINO REGULAR E PROFISSIONALIZANTE LTDA -EPP,2201100,3,4,1,0
33230021,0123603 CRECHE MUNICIPAL FALLET,3304557,1,3,1,1
24058769,ESCOLA ESTADUAL LEAO XIII ENSINO FUNDAMENTAL,2411059,2,2,1,0
43209262,BIZUCA ESCOLA DE EDUCACAO INFANTIL,4314902,1,4,1,1
14000814,CENTRO DE EDUCACAO INTEGRADA COLMEIA LTDA,1400100,1,4,1,1
42141184,NEIM HERMENEGILDA CAROLINA JACQUES,4205407,1,3,2,1
35107273,JULIO VERNE COLEGIO,3550308,2,4,1,0
28034570,COLEGIO RENOVACAO,2800308,3,4,1,0
17046807,ESCOLA MUNICIPAL JORGE AMADO,1701402,1,3,1,1
