id_aluno,num_sala,serie,etapa_ensino,ano_letivo
1,101,1A,Ensino Médio,2023
2,102,2B,Ensino Médio,2023
3,103,3C,Ensino Médio,2023
4,201,1A,Ensino Fundamental,2023
5,202,2B,Ensino Fundamental,2023
6,203,3C,Ensino Fundamental,2023
7,301,MA,Ensino Básico,2023
8,302,7B,Ensino Fundamental,2023
9,303,3C,Ensino Médio,2023
10,401,1A,Ensino Fundamental,2023
11,402,2B,Ensino Fundamental,2023
12,403,3C,Ensino Fundamental,2023
13,501,1A,Ensino Médio,2023
14,502,2B,Ensino Médio,2023
15,503,3C,Ensino Médio,2023
16,601,1A,Ensino Médio,2023
17,602,2B,Ensino Médio,2023
18,603,3C,Ensino Médio,2023
19,701,1A,Ensino Médio,2023
20,702,2B,Ensino médio,2023
21,703,3C,Ensino Médio,2023
22,801,1A,Ensino Fundamental,2023
23,802,2B,Ensino Fundamental,2023
24,803,3C,Ensino Fundamental,2023
25,901,1A,Ensino Fundamental,2023
26,902,2B,Ensino Fundamental,2023
27,903,3C,Ensino Fundamental,2023
28,1001,1A,Ensino Fundamental,2023
29,1002,2B,Ensino Fundamental,2023
30,1003,3C,Ensino Fundamental,2023
31,1101,1A,Ensino Médio,2023
32,1102,2B,Ensino Médio,2023
33,1103,3C,Ensino Médio,2023
34,1201,MA,Ensino Básico,2023
35,1202,6B,Ensino Fundamental,2023
36,1203,9C,Ensino Fundamental,2023
37,1301,MA,Ensino Básico,2023
38,1302,8B,Ensino Fundamental,2023
39,1303,1C,Ensino Médio,2023
40,1401,1A,Ensino Médio,2023
41,1402,2B,Ensino Médio,2023
42,1403,3C,Ensino Médio,2023
43,1501,1A,Ensino Médio,2023
44,1502,2B,Ensino Médio,2023
45,1503,3C,Ensino Médio,2023
46,1601,1A,Ensino Fundamental,2023
47,1602,2B,Ensino Fundamental,2023
48,1603,3C,Ensino Fundamental,2023
49,1701,MA,Ensino Básico,2023
50,1702,9B,Ensino Fundamental,2023
51,1703,3C,Ensino Médio,2023
52,1801,9A,Ensino Fundamental,2023
53,1802,2B,Ensino Médio,2023
54,1803,3C,Ensino Fundamental,2023
55,1901,1A,Ensino Fundamental,2023
56,1902,1B,Ensino Fundamental,2023
57,1903,2A,Ensino Fundamental,2023
58,2001,MA,Ensino Básico,2023
59,2002,MB,Ensino Fundamental,2023
60,2003,MC,Ensino Fundamental,2023
61,2101,4A,Ensino Fundamental,2023
62,2102,5B,Ensino Fundamental,2023
63,2103,7C,Ensino Fundamental,2023
64,2201,MA,Ensino Básico,2023
65,2202,MB,Ensino Básico,2023
66,2203,MC,Ensino Básico,2023
67,2301,5A,Ensino Fundamental,2023
68,2302,6B,Ensino Fundamental,2023
69,2303,7C,Ensino Fundamental,2023
70,2401,MA,Ensino Básico,2023
71,2402,2B,Ensino Fundamental,2023
72,2403,3C,Ensino Médio,2023
73,2501,1A,Ensino Médio,2023
74,2502,2B,Ensino Médio,2023
75,2503,3C,Ensino Médio,2023
76,2601,1A,Ensino Fundamental,2023
77,2602,2B,Ensino Fundamental,2023
78,2603,3C,Ensino Fundamental,2023
79,2701,1A,Ensino Médio,2023
80,2702,2B,Ensino Médio,2023
81,2703,3C,Ensino Médio,2023
